,doi,fk_idx,cole_idx,date
9,s41539-020-0061-1,14.2,22.95,2020-03-16T00:00:00Z
10,s41535-020-0217-5,18.5,33.04,2020-03-06T00:00:00Z
11,s41541-020-0169-6,18.1,27.77,2020-03-12T00:00:00Z
12,s41578-020-0194-0,15.5,16.71,2020-03-18T00:00:00Z
13,s41564-020-0709-x,16.4,28.23,2020-04-27T00:00:00Z
14,s41392-020-00350-0,16.3,26.56,2020-10-09T00:00:00Z
15,s41392-020-00336-y,29.7,59.95,2020-10-09T00:00:00Z
16,s41525-020-0133-4,17.6,27.66,2020-06-05T00:00:00Z
17,s41392-020-00351-z,19.8,26.23,2020-10-10T00:00:00Z
18,s41392-020-00356-8,21.2,33.06,2020-10-09T00:00:00Z
19,s41392-020-00359-5,17.4,27.19,2020-10-19T00:00:00Z
20,s41392-020-00358-6,20.0,36.98,2020-10-19T00:00:00Z
21,s41525-020-0118-3,16.6,25.27,2020-02-27T00:00:00Z
22,s41535-020-0215-7,19.3,35.36,2020-02-18T00:00:00Z
23,s41541-020-0163-z,17.1,26.44,2020-02-14T00:00:00Z
24,s41541-020-0161-1,15.9,23.54,2020-02-05T00:00:00Z
25,s41536-020-0088-1,15.5,25.56,2020-02-21T00:00:00Z
26,s41525-019-0113-8,15.8,25.86,2020-02-06T00:00:00Z
27,s41535-020-0213-9,19.1,31.65,2020-02-07T00:00:00Z
28,s41535-020-0212-x,19.4,36.35,2020-02-13T00:00:00Z
29,s41539-020-0060-2,15.1,24.52,2020-02-05T00:00:00Z
30,s41541-020-0164-y,17.2,28.98,2020-02-14T00:00:00Z
0,s43246-020-00085-z,16.1,27.59,2020-11-10T00:00:00Z
1,s43246-020-00083-1,21.3,42.78,2020-11-11T00:00:00Z
2,s43018-019-0019-5,16.2,27.36,2020-01-20T00:00:00Z
3,s43247-020-00048-9,15.3,26.03,2020-11-09T00:00:00Z
4,s43247-020-00075-6,14.9,25.04,2020-12-23T00:00:00Z
5,s43246-020-00050-w,16.9,29.17,2020-08-03T00:00:00Z
6,s43247-020-00072-9,21.4,54.24,2020-12-07T00:00:00Z
7,s43018-020-0101-z,25.6,39.57,2020-08-03T00:00:00Z
8,s43246-020-00084-0,15.6,27.77,2020-11-06T00:00:00Z
9,s43246-020-0045-y,15.2,26.14,2020-07-24T00:00:00Z
10,s43018-020-00117-0,17.5,19.26,2020-09-03T00:00:00Z
11,s43018-020-0086-7,17.7,29.39,2020-07-06T00:00:00Z
12,s43016-020-0111-0,15.1,51.67,2020-07-06T00:00:00Z
13,s43018-020-0061-3,16.0,28.57,2020-05-18T00:00:00Z
14,s43247-020-00043-0,15.6,30.03,2020-11-04T00:00:00Z
15,s43246-020-00081-3,16.8,27.83,2020-11-04T00:00:00Z
16,s43247-020-00039-w,15.3,26.38,2020-11-02T00:00:00Z
17,s43247-020-00041-2,17.2,28.12,2020-11-04T00:00:00Z
18,s43246-020-0042-1,16.3,28.7,2020-07-21T00:00:00Z
19,s43018-020-0078-7,18.3,31.18,2020-06-22T00:00:00Z
20,s43018-020-0075-x,15.2,27.25,2020-06-22T00:00:00Z
21,s43018-020-0082-y,16.3,27.65,2020-06-29T00:00:00Z
22,s43018-020-0080-0,17.4,29.91,2020-06-22T00:00:00Z
0,s41564-020-00847-y,18.7,16.2,2020-12-21T00:00:00Z
1,s41564-020-00838-z,19.4,28.3,2020-12-21T00:00:00Z
2,s41564-020-00836-1,18.1,28.82,2020-12-21T00:00:00Z
3,s41564-020-00805-8,15.5,28.68,2020-12-21T00:00:00Z
4,s41564-020-00846-z,17.8,29.22,2020-12-21T00:00:00Z
5,s41564-020-00841-4,16.0,28.34,2020-12-18T00:00:00Z
6,s41578-020-00276-7,17.1,22.5,2020-12-21T00:00:00Z
7,s41560-020-00735-z,17.7,29.8,2020-12-07T00:00:00Z
8,s41578-020-00273-w,17.0,18.57,2020-12-09T00:00:00Z
9,s41564-020-00815-6,16.8,27.72,2020-11-30T00:00:00Z
10,s41560-020-00760-y,18.6,56.48,2020-12-09T00:00:00Z
11,s41560-020-00754-w,18.6,27.73,2020-12-23T00:00:00Z
12,s41477-020-00825-6,16.3,55.55,2020-12-01T00:00:00Z
13,s41564-020-00829-0,19.6,26.21,2020-12-21T00:00:00Z
14,s41564-020-00842-3,18.3,26.63,2020-12-21T00:00:00Z
15,s41578-020-00265-w,18.7,32.47,2020-12-23T00:00:00Z
0,s41560-019-0536-6,12.0,47.86,2020-01-20T00:00:00Z
1,s41564-020-0671-7,22.2,57.47,2020-01-21T00:00:00Z
2,s41536-020-0097-0,15.7,25.63,2020-06-15T00:00:00Z
3,s41535-020-0241-5,17.7,29.62,2020-06-18T00:00:00Z
4,s41541-020-0200-y,17.6,26.33,2020-06-12T00:00:00Z
5,s41536-020-0098-z,16.2,28.17,2020-06-12T00:00:00Z
6,s41541-020-0194-5,17.2,26.5,2020-06-09T00:00:00Z
7,s41541-020-0201-x,19.0,26.57,2020-06-16T00:00:00Z
8,s41535-020-0240-6,15.9,29.04,2020-06-16T00:00:00Z
9,s41564-020-0691-3,17.3,30.66,2020-03-23T00:00:00Z
10,s41564-020-0687-z,18.5,32.29,2020-03-09T00:00:00Z
11,s41564-020-0673-5,18.0,32.05,2020-03-02T00:00:00Z
12,s41560-020-0645-2,20.9,31.38,2020-07-13T00:00:00Z
13,s41560-020-0614-9,15.1,17.35,2020-04-08T00:00:00Z
14,s41564-020-0699-8,18.5,24.19,2020-03-26T00:00:00Z
15,s41392-020-00366-6,17.6,24.82,2020-10-30T00:00:00Z
16,s41392-020-00369-3,16.2,26.2,2020-10-30T00:00:00Z
17,s41564-020-0696-y,20.5,32.19,2020-03-26T00:00:00Z
18,s41392-020-00364-8,17.8,26.9,2020-10-30T00:00:00Z
19,s41392-020-00365-7,16.7,30.77,2020-10-30T00:00:00Z
20,s41392-020-0189-8,36.3,59.52,2020-06-12T00:00:00Z
21,s41392-020-0184-0,36.3,63.35,2020-06-12T00:00:00Z
22,s41392-020-0188-9,27.3,43.5,2020-06-12T00:00:00Z
23,s41392-020-00342-0,18.1,30.15,2020-11-06T00:00:00Z
24,s41541-020-0195-4,17.2,25.86,2020-06-02T00:00:00Z
25,s41535-020-0235-3,16.4,28.7,2020-06-03T00:00:00Z
26,s41539-020-0066-9,15.6,25.92,2020-06-04T00:00:00Z
27,s41541-020-0191-8,16.0,26.85,2020-06-02T00:00:00Z
28,s41535-020-0236-2,16.0,29.79,2020-06-01T00:00:00Z
29,s41541-020-0192-7,17.8,25.58,2020-06-04T00:00:00Z
30,s41560-019-0546-4,19.0,31.77,2020-02-10T00:00:00Z
31,s41578-020-0207-z,18.6,24.53,2020-06-04T00:00:00Z
0,s41526-020-00125-5,17.0,27.14,2020-12-01T00:00:00Z
1,s41534-020-00326-6,16.5,28.8,2020-12-02T00:00:00Z
2,s41522-020-00170-8,16.9,28.92,2020-12-02T00:00:00Z
3,s41522-020-00166-4,17.9,28.12,2020-12-02T00:00:00Z
4,s41421-020-00213-6,15.8,30.08,2020-12-01T00:00:00Z
5,s41378-020-00204-3,14.5,25.85,2020-11-30T00:00:00Z
6,s41524-020-00449-6,16.9,31.42,2020-11-30T00:00:00Z
7,s41378-020-00216-z,15.1,25.62,2020-11-30T00:00:00Z
8,s41420-020-00360-5,17.2,26.79,2020-11-30T00:00:00Z
9,s41378-020-00214-1,17.3,28.69,2020-11-30T00:00:00Z
10,s41378-020-00215-0,17.1,29.1,2020-11-30T00:00:00Z
11,s41405-020-00054-1,15.8,25.98,2020-11-28T00:00:00Z
12,s41378-020-00220-3,16.2,28.75,2020-11-30T00:00:00Z
13,s41405-020-00046-1,15.4,23.77,2020-09-23T00:00:00Z
14,s41405-020-00044-3,16.2,25.33,2020-09-24T00:00:00Z
15,s41524-020-00412-5,15.6,27.76,2020-09-25T00:00:00Z
16,s41522-020-00167-3,15.9,27.47,2020-11-27T00:00:00Z
17,s41524-020-00451-y,16.8,30.25,2020-11-27T00:00:00Z
18,s41540-020-00155-5,18.0,28.01,2020-11-27T00:00:00Z
19,s41420-020-00368-x,16.2,27.88,2020-11-27T00:00:00Z
20,s41420-020-00370-3,15.6,28.63,2020-11-26T00:00:00Z
21,s41524-020-00452-x,15.9,26.49,2020-11-27T00:00:00Z
22,s41523-020-00203-7,17.4,28.53,2020-11-27T00:00:00Z
23,s41524-020-00448-7,15.4,24.69,2020-11-27T00:00:00Z
24,s41522-020-00169-1,16.2,27.3,2020-11-27T00:00:00Z
0,s41564-020-0694-0,16.3,27.13,2020-04-13T00:00:00Z
1,s41564-020-0702-4,17.1,28.69,2020-04-13T00:00:00Z
2,s41541-020-00257-5,17.0,27.95,2020-12-17T00:00:00Z
3,s41560-020-0600-2,18.6,29.34,2020-04-13T00:00:00Z
4,s41564-020-0685-1,17.4,28.17,2020-04-13T00:00:00Z
5,s41560-020-0589-6,17.9,24.65,2020-03-30T00:00:00Z
6,s41564-020-0718-9,21.0,57.47,2020-04-16T00:00:00Z
7,s41564-020-0700-6,18.0,28.76,2020-04-06T00:00:00Z
8,s41564-020-0703-3,16.6,27.54,2020-04-13T00:00:00Z
9,s41564-020-0728-7,22.0,61.64,2020-04-29T00:00:00Z
10,s41539-020-00074-4,21.4,35.54,2020-10-15T00:00:00Z
11,s41392-020-00355-9,18.6,30.61,2020-10-15T00:00:00Z
12,s41392-020-00327-z,17.1,29.1,2020-10-15T00:00:00Z
13,s41541-020-00248-6,16.6,26.79,2020-10-16T00:00:00Z
14,s41541-020-00241-z,16.6,28.17,2020-10-14T00:00:00Z
15,s41535-020-0234-4,17.3,29.28,2020-05-18T00:00:00Z
16,s41535-020-0226-4,14.3,26.6,2020-05-08T00:00:00Z
17,s41578-020-0220-2,22.1,22.17,2020-06-18T00:00:00Z
18,s41560-020-0643-4,22.5,70.36,2020-06-18T00:00:00Z
19,s41564-020-0743-8,21.1,34.51,2020-06-22T00:00:00Z
20,s41560-020-0577-x,22.7,38.21,2020-03-09T00:00:00Z
21,s41564-020-0684-2,16.1,28.28,2020-03-23T00:00:00Z
22,s41560-020-0584-y,17.1,27.7,2020-03-16T00:00:00Z
23,s41564-020-0675-3,16.8,26.5,2020-03-09T00:00:00Z
24,s41525-020-00164-7,17.6,25.34,2020-12-15T00:00:00Z
25,s41564-020-0678-0,17.0,25.05,2020-03-09T00:00:00Z
26,s41560-020-0606-9,16.3,53.58,2020-03-30T00:00:00Z
27,s41564-020-0683-3,18.8,29.74,2020-03-09T00:00:00Z
28,s41578-020-0224-y,52.8,110.42,2020-07-06T00:00:00Z
29,s41560-020-0567-z,17.8,30.44,2020-03-02T00:00:00Z
30,s41525-020-00152-x,18.8,27.9,2020-10-12T00:00:00Z
31,s41392-020-00251-2,16.1,27.01,2020-10-09T00:00:00Z
0,s41598-020-79395-8,15.8,21.17,2020-12-17T00:00:00Z
1,s41598-020-79100-9,18.2,29.92,2020-12-17T00:00:00Z
2,s41598-020-79108-1,16.4,25.27,2020-12-17T00:00:00Z
3,s41598-020-79009-3,16.9,25.63,2020-12-17T00:00:00Z
4,s41598-020-79037-z,15.5,26.9,2020-12-17T00:00:00Z
5,s41598-020-79430-8,14.7,26.6,2020-12-17T00:00:00Z
6,s41598-020-79028-0,15.5,26.71,2020-12-17T00:00:00Z
7,s41598-020-79056-w,16.5,29.33,2020-12-16T00:00:00Z
8,s41598-020-79251-9,17.3,31.36,2020-12-17T00:00:00Z
9,s41598-020-78973-0,16.1,24.99,2020-12-17T00:00:00Z
10,s41598-020-79188-z,17.6,27.08,2020-12-17T00:00:00Z
11,s41598-020-78563-0,16.5,27.71,2020-12-16T00:00:00Z
12,s41598-020-78987-8,17.8,26.91,2020-12-16T00:00:00Z
13,s41598-020-79171-8,16.6,27.77,2020-12-17T00:00:00Z
14,s41598-020-79179-0,14.3,25.85,2020-12-17T00:00:00Z
15,s41598-020-78695-3,14.5,23.48,2020-12-17T00:00:00Z
16,s41598-020-79190-5,16.3,27.42,2020-12-17T00:00:00Z
17,s41598-020-79214-0,18.5,27.26,2020-12-17T00:00:00Z
18,s41598-020-79327-6,18.4,33.5,2020-12-17T00:00:00Z
19,s41598-020-79228-8,17.8,29.46,2020-12-17T00:00:00Z
20,s41598-020-78631-5,16.7,27.89,2020-12-17T00:00:00Z
21,s41598-020-79035-1,15.1,26.44,2020-12-16T00:00:00Z
22,s41598-020-79247-5,15.1,24.81,2020-12-17T00:00:00Z
23,s41598-020-79148-7,16.9,24.76,2020-12-17T00:00:00Z
24,s41598-020-79049-9,16.9,29.22,2020-12-16T00:00:00Z
25,s41598-020-78469-x,17.1,30.89,2020-12-17T00:00:00Z
26,s41598-020-79379-8,15.8,28.92,2020-12-17T00:00:00Z
27,s41598-020-79400-0,17.4,25.34,2020-12-17T00:00:00Z
28,s41598-020-79301-2,16.8,29.34,2020-12-17T00:00:00Z
29,s41598-020-78994-9,16.2,28.7,2020-12-16T00:00:00Z
30,s41598-020-79299-7,14.6,24.99,2020-12-17T00:00:00Z
31,s41598-020-79221-1,15.4,23.82,2020-12-17T00:00:00Z
0,s41477-020-0600-z,28.1,62.8,2020-02-06T00:00:00Z
1,s41523-020-00192-7,15.6,25.57,2020-10-02T00:00:00Z
2,s41524-020-00414-3,15.1,26.49,2020-10-01T00:00:00Z
3,s41421-020-00198-2,16.4,29.33,2020-09-29T00:00:00Z
4,s41420-020-00328-5,18.4,25.87,2020-09-29T00:00:00Z
5,s41523-020-00189-2,16.5,26.45,2020-10-02T00:00:00Z
6,s41537-020-00116-1,16.4,26.43,2020-10-01T00:00:00Z
7,s41526-020-00117-5,16.4,26.72,2020-10-01T00:00:00Z
8,s41420-020-00321-y,20.6,37.0,2020-10-02T00:00:00Z
9,s41394-020-0299-0,18.7,31.31,2020-06-18T00:00:00Z
10,s41421-020-00210-9,16.3,25.92,2020-09-29T00:00:00Z
11,s41524-020-0295-8,16.4,28.7,2020-03-20T00:00:00Z
12,s41394-020-0266-9,16.2,24.76,2020-03-17T00:00:00Z
13,s41405-020-0031-y,21.9,26.22,2020-03-17T00:00:00Z
14,s41524-020-0292-y,17.4,30.9,2020-03-19T00:00:00Z
15,s41394-020-0263-z,20.9,25.99,2020-03-11T00:00:00Z
16,s41524-020-0289-6,16.6,26.67,2020-03-19T00:00:00Z
17,s41524-020-0297-6,16.5,29.03,2020-03-20T00:00:00Z
18,s41405-020-0030-z,16.7,25.91,2020-03-17T00:00:00Z
19,s41420-020-00372-1,18.3,26.5,2020-11-27T00:00:00Z
20,s41524-020-00409-0,17.0,28.57,2020-09-23T00:00:00Z
21,s41537-020-00115-2,16.3,26.9,2020-09-25T00:00:00Z
22,s41524-020-00411-6,15.2,25.45,2020-09-24T00:00:00Z
23,s41522-020-00144-w,16.8,27.02,2020-09-25T00:00:00Z
24,s41534-020-00312-y,14.9,26.72,2020-09-25T00:00:00Z
0,s41394-020-00350-w,20.8,31.43,2020-11-02T00:00:00Z
1,s41477-020-0618-2,15.6,27.19,2020-03-13T00:00:00Z
2,s41572-020-0172-2,13.7,41.72,2020-04-06T00:00:00Z
3,s41477-020-0649-8,13.9,53.12,2020-04-03T00:00:00Z
4,s41378-020-00218-x,16.7,29.38,2020-12-14T00:00:00Z
5,s41522-020-00148-6,16.0,27.7,2020-10-12T00:00:00Z
6,s41524-020-00420-5,16.3,27.77,2020-10-12T00:00:00Z
7,s41394-020-00346-6,19.8,26.22,2020-10-12T00:00:00Z
8,s41522-020-00150-y,18.4,28.59,2020-10-09T00:00:00Z
9,s41524-020-00416-1,18.0,28.7,2020-10-09T00:00:00Z
10,s41420-020-00334-7,16.6,27.88,2020-10-12T00:00:00Z
11,s41522-020-00146-8,15.9,25.69,2020-10-12T00:00:00Z
12,s41524-020-00419-y,17.1,30.31,2020-10-13T00:00:00Z
13,s41522-020-00149-5,16.2,27.88,2020-10-09T00:00:00Z
14,s41522-020-00147-7,17.4,29.1,2020-10-13T00:00:00Z
15,s41523-020-00194-5,17.8,25.75,2020-10-09T00:00:00Z
16,s41421-020-00201-w,17.5,30.96,2020-10-13T00:00:00Z
17,s41394-020-0269-6,19.4,23.44,2020-04-24T00:00:00Z
18,s41394-020-0279-4,18.5,27.03,2020-04-30T00:00:00Z
19,s41420-020-0262-7,18.3,28.88,2020-04-20T00:00:00Z
20,s41394-020-0275-8,18.3,26.8,2020-04-15T00:00:00Z
21,s41394-020-0278-5,17.0,25.29,2020-04-28T00:00:00Z
22,s41572-020-0209-6,18.7,26.97,2020-09-17T00:00:00Z
23,s41477-019-0588-4,16.7,28.64,2020-02-10T00:00:00Z
0,s41893-020-00609-y,16.7,28.06,2020-09-14T00:00:00Z
1,s41562-020-0875-0,17.0,29.79,2020-05-18T00:00:00Z
2,s41562-020-0859-0,17.6,31.36,2020-05-11T00:00:00Z
3,s41528-020-00095-4,16.8,26.32,2020-11-23T00:00:00Z
4,s41562-020-0867-0,16.5,25.8,2020-05-11T00:00:00Z
5,s41550-020-1092-5,18.9,31.78,2020-05-11T00:00:00Z
6,s41559-020-01304-z,17.4,23.89,2020-08-20T00:00:00Z
7,s41559-020-1102-0,21.8,36.65,2020-02-24T00:00:00Z
8,s41559-019-1080-2,16.2,26.9,2020-02-10T00:00:00Z
9,s41559-020-1094-9,17.4,29.51,2020-02-03T00:00:00Z
10,s41550-020-1170-8,16.7,25.23,2020-10-08T00:00:00Z
11,s41550-020-01240-9,22.4,43.5,2020-10-08T00:00:00Z
12,s41551-020-0566-1,18.1,29.22,2020-06-29T00:00:00Z
13,s41570-020-00227-4,14.8,14.57,2020-09-14T00:00:00Z
14,s41562-019-0815-z,16.1,25.92,2020-01-27T00:00:00Z
15,s41893-020-00600-7,18.2,33.21,2020-08-31T00:00:00Z
16,s41562-020-00947-z,21.6,40.77,2020-09-07T00:00:00Z
17,s41551-020-00609-5,17.8,33.05,2020-09-10T00:00:00Z
18,s41550-020-01216-9,14.3,12.19,2020-09-10T00:00:00Z
19,s41550-020-1167-3,14.4,24.18,2020-09-10T00:00:00Z
20,s41570-020-00225-6,23.0,15.62,2020-09-08T00:00:00Z
21,s41551-020-00610-y,20.6,32.71,2020-09-10T00:00:00Z
22,s41559-020-01300-3,17.7,20.37,2020-09-07T00:00:00Z
23,s41699-020-00175-z,17.2,28.24,2020-11-20T00:00:00Z
24,s41551-020-0538-5,17.6,29.68,2020-03-30T00:00:00Z
25,s41529-020-00139-0,25.5,44.58,2020-11-18T00:00:00Z
26,s41550-020-1072-9,16.6,27.48,2020-04-06T00:00:00Z
27,s41551-020-0534-9,16.4,25.91,2020-04-06T00:00:00Z
28,s41551-020-0540-y,16.5,25.85,2020-03-30T00:00:00Z
29,s41559-020-1146-1,13.6,44.58,2020-03-09T00:00:00Z
30,s41551-020-0583-0,17.7,30.49,2020-07-06T00:00:00Z
31,s41698-020-00131-6,17.2,27.48,2020-09-01T00:00:00Z
0,s42003-020-01412-3,15.4,25.74,2020-11-19T00:00:00Z
1,s41893-020-00661-8,18.2,27.26,2020-12-10T00:00:00Z
2,s41893-020-00632-z,17.4,56.02,2020-10-07T00:00:00Z
3,s41929-020-00540-7,20.4,20.89,2020-11-18T00:00:00Z
4,s42003-020-01509-9,15.6,25.16,2020-12-23T00:00:00Z
5,s42256-020-0221-2,14.6,50.48,2020-08-12T00:00:00Z
6,s42003-020-01506-y,15.9,25.92,2020-12-23T00:00:00Z
7,s41929-020-00506-9,15.9,29.15,2020-09-07T00:00:00Z
8,s42254-020-00259-1,16.8,28.01,2020-12-16T00:00:00Z
9,s42003-020-01402-5,16.8,27.72,2020-12-21T00:00:00Z
10,s42005-020-00473-4,16.7,29.96,2020-11-13T00:00:00Z
11,s42004-020-00420-y,17.6,29.51,2020-11-13T00:00:00Z
12,s41929-020-00532-7,16.5,59.31,2020-10-15T00:00:00Z
13,s41893-020-00621-2,15.9,28.24,2020-10-12T00:00:00Z
14,s41929-020-00518-5,15.7,28.46,2020-10-12T00:00:00Z
15,s41893-020-00617-y,18.1,25.69,2020-10-12T00:00:00Z
16,s41929-020-00519-4,17.3,30.08,2020-10-12T00:00:00Z
17,s41929-020-00536-3,11.0,13.33,2020-11-12T00:00:00Z
18,s41929-020-00537-2,17.9,22.51,2020-11-12T00:00:00Z
19,s41929-020-00538-1,16.9,29.46,2020-11-12T00:00:00Z
20,s41929-020-00499-5,16.3,32.16,2020-09-21T00:00:00Z
21,s41929-020-00511-y,18.1,29.8,2020-09-21T00:00:00Z
22,s42004-020-00415-9,16.5,27.71,2020-11-09T00:00:00Z
23,s41929-020-0460-y,20.0,38.72,2020-05-18T00:00:00Z
24,s41893-019-0466-0,17.9,30.33,2020-01-20T00:00:00Z
25,s42005-020-00475-2,16.3,27.88,2020-11-10T00:00:00Z
0,s41598-020-77240-6,17.3,26.03,2020-11-20T00:00:00Z
1,s41598-020-76354-1,18.2,26.21,2020-11-20T00:00:00Z
2,s41598-020-77217-5,17.7,26.74,2020-11-19T00:00:00Z
3,s41558-020-0898-6,16.4,29.43,2020-09-14T00:00:00Z
4,s41598-020-77184-x,16.4,26.68,2020-11-18T00:00:00Z
5,s41598-020-77111-0,17.5,28.99,2020-11-18T00:00:00Z
6,s41598-020-77125-8,17.3,27.08,2020-11-18T00:00:00Z
7,s41598-020-77276-8,18.5,28.82,2020-11-18T00:00:00Z
8,s41598-020-77248-y,16.6,26.67,2020-11-18T00:00:00Z
9,s41598-020-77151-6,15.6,26.79,2020-11-19T00:00:00Z
10,s41598-020-76939-w,14.1,26.26,2020-11-20T00:00:00Z
11,s41598-020-77208-6,17.6,28.06,2020-11-20T00:00:00Z
12,s41598-020-75352-7,17.2,27.14,2020-11-20T00:00:00Z
13,s41598-020-77109-8,20.8,37.62,2020-11-18T00:00:00Z
14,s41598-020-76922-5,17.8,29.62,2020-11-18T00:00:00Z
15,s41598-020-77128-5,17.4,31.6,2020-11-18T00:00:00Z
16,s41598-020-77378-3,17.4,28.76,2020-11-19T00:00:00Z
17,s41598-020-77102-1,17.9,28.7,2020-11-18T00:00:00Z
18,s41598-020-77234-4,18.3,25.81,2020-11-18T00:00:00Z
19,s41598-020-76866-w,17.5,25.51,2020-11-18T00:00:00Z
20,s41598-020-77135-6,18.5,28.35,2020-11-18T00:00:00Z
21,s41598-020-77050-w,16.8,25.74,2020-11-18T00:00:00Z
22,s41598-020-77267-9,16.4,32.76,2020-11-19T00:00:00Z
23,s41598-020-77182-z,16.9,30.33,2020-11-19T00:00:00Z
24,s41598-020-76708-9,17.6,28.99,2020-11-18T00:00:00Z
25,s41598-020-77258-w,17.3,27.95,2020-11-20T00:00:00Z
26,s41598-020-76647-5,17.2,28.81,2020-11-18T00:00:00Z
27,s41598-020-76977-4,17.9,27.54,2020-11-18T00:00:00Z
28,s41598-020-77161-4,15.5,27.42,2020-11-19T00:00:00Z
29,s41598-020-76913-6,17.0,24.71,2020-11-19T00:00:00Z
30,s41598-020-73349-w,17.4,27.6,2020-11-20T00:00:00Z
31,s41598-020-77194-9,16.4,27.84,2020-11-19T00:00:00Z
0,s41559-020-1207-5,15.4,25.62,2020-05-18T00:00:00Z
1,s41699-020-00159-z,15.4,32.05,2020-07-29T00:00:00Z
2,s41559-020-1185-7,18.2,32.58,2020-05-04T00:00:00Z
3,s41551-020-0555-4,18.9,33.05,2020-05-11T00:00:00Z
4,s41559-020-1183-9,15.7,29.27,2020-05-04T00:00:00Z
5,s41559-020-1203-9,15.8,25.22,2020-05-18T00:00:00Z
6,s41559-020-1202-x,17.3,29.1,2020-05-18T00:00:00Z
7,s41559-020-1173-y,17.7,26.85,2020-05-11T00:00:00Z
8,s41559-020-1157-y,16.5,26.43,2020-05-11T00:00:00Z
9,s41550-020-01223-w,21.7,14.34,2020-09-23T00:00:00Z
10,s41550-020-01228-5,16.7,23.73,2020-09-23T00:00:00Z
11,s41550-020-1079-2,15.9,25.22,2020-04-20T00:00:00Z
12,s41570-020-00224-7,16.8,27.89,2020-10-22T00:00:00Z
13,s41562-020-0823-z,17.6,28.64,2020-02-10T00:00:00Z
14,s41559-020-01296-w,18.4,30.27,2020-09-03T00:00:00Z
15,s41570-020-00226-5,16.8,31.82,2020-10-08T00:00:00Z
16,s41893-020-00616-z,17.9,29.68,2020-10-05T00:00:00Z
17,s41550-020-01219-6,14.9,24.0,2020-10-08T00:00:00Z
18,s41550-020-01221-y,16.2,20.83,2020-10-08T00:00:00Z
19,s41550-020-1162-8,13.5,35.7,2020-07-08T00:00:00Z
20,s41570-020-00223-8,22.0,37.29,2020-10-06T00:00:00Z
21,s41570-020-0212-1,17.3,18.34,2020-07-24T00:00:00Z
22,s41559-020-1270-y,18.6,25.87,2020-07-27T00:00:00Z
23,s41550-020-1166-4,14.2,17.64,2020-07-27T00:00:00Z
24,s41559-020-01292-0,17.8,48.84,2020-07-30T00:00:00Z
25,s41559-020-1266-7,17.8,25.35,2020-07-24T00:00:00Z
26,s41559-020-1097-6,13.8,39.25,2020-02-03T00:00:00Z
27,s41538-020-00079-8,14.5,23.54,2020-11-04T00:00:00Z
28,s41551-020-0573-2,17.5,30.55,2020-06-22T00:00:00Z
29,s41538-020-00077-w,18.5,26.27,2020-11-02T00:00:00Z
30,s41559-019-1088-7,13.6,43.13,2020-02-10T00:00:00Z
0,s41398-020-01077-w,19.5,29.17,2020-11-06T00:00:00Z
1,s41558-020-00932-4,14.1,51.56,2020-09-22T00:00:00Z
2,s41598-020-76465-9,16.7,27.42,2020-11-06T00:00:00Z
3,s41598-020-75054-0,16.0,27.14,2020-11-06T00:00:00Z
4,s41598-020-74878-0,17.1,25.45,2020-10-21T00:00:00Z
5,s41598-020-79215-z,16.3,26.55,2020-12-17T00:00:00Z
6,s41598-020-79199-w,17.6,27.83,2020-12-16T00:00:00Z
7,s41598-020-77579-w,16.3,25.74,2020-12-17T00:00:00Z
8,s41598-020-78786-1,14.5,27.76,2020-12-16T00:00:00Z
9,s41598-020-79281-3,18.1,31.14,2020-12-17T00:00:00Z
10,s41598-020-79182-5,14.5,25.15,2020-12-17T00:00:00Z
11,s41598-020-79206-0,16.9,26.27,2020-12-16T00:00:00Z
12,s41598-020-79107-2,16.5,27.42,2020-12-16T00:00:00Z
13,s41598-020-78079-7,19.0,28.71,2020-12-17T00:00:00Z
14,s41598-020-79357-0,16.3,32.06,2020-12-17T00:00:00Z
15,s41598-020-78232-2,19.3,31.14,2020-12-17T00:00:00Z
16,s41598-020-78906-x,23.5,46.39,2020-12-17T00:00:00Z
17,s41598-020-78345-8,16.1,23.83,2020-12-17T00:00:00Z
18,s41598-020-79286-y,18.1,30.33,2020-12-17T00:00:00Z
19,s41598-020-78463-3,16.1,26.08,2020-12-17T00:00:00Z
20,s41598-020-78675-7,13.5,24.8,2020-12-16T00:00:00Z
21,s41598-020-79420-w,15.4,24.58,2020-12-17T00:00:00Z
22,s41598-020-79406-8,15.4,25.91,2020-12-17T00:00:00Z
23,s41598-020-78826-w,15.8,27.65,2020-12-17T00:00:00Z
24,s41598-020-78416-w,17.6,26.5,2020-12-17T00:00:00Z
25,s41598-020-79213-1,15.5,25.04,2020-12-17T00:00:00Z
26,s41598-020-79114-3,17.2,26.85,2020-12-17T00:00:00Z
27,s41598-020-79015-5,15.8,26.56,2020-12-17T00:00:00Z
28,s41598-020-79142-z,16.8,22.97,2020-12-17T00:00:00Z
29,s41598-020-77725-4,15.8,25.45,2020-12-17T00:00:00Z
30,s41598-020-78977-w,16.2,29.91,2020-12-17T00:00:00Z
31,s41598-020-78220-6,17.8,30.67,2020-12-17T00:00:00Z
0,s43018-020-0032-8,20.3,33.0,2020-02-10T00:00:00Z
1,s43018-020-0029-3,15.8,22.33,2020-02-17T00:00:00Z
2,s43018-019-0018-6,20.9,35.43,2020-01-20T00:00:00Z
3,s43018-020-0063-1,18.1,25.18,2020-04-28T00:00:00Z
